HR,Name,B-V,Vmag,x,y,z
42,,1.55,5.94,0.8970206166286367,-0.43871535527169264,-0.053692181851856015
43,,1.48,6.31,0.894994495955072,-0.4428321291881234,-0.053708077314681385
44,,-0.01,6.25,0.8351367256666553,0.5476524688309483,-0.05121935987636776
45,89Chi Peg,1.57,4.8,0.936548368589284,0.34540739528256376,-0.05975687890833386
46,,1.62,5.12,0.9888224147629523,-0.13537933495014803,-0.06247133527322473
47,,1.72,5.77,0.08710976172614729,-0.9961858195264968,-0.005069752098058539
48,7    Cet,1.66,4.44,0.9439706655333854,-0.3244586018115195,-0.060382102671001435
49,,-0.01,6.24,0.9233505008175729,0.37920046907576443,-0.06025659210955776
50,35    Psc,0.31,5.79,0.9860625715601826,0.15334515614234576,-0.06454353612716957
51,,-0.08,5.75,0.9839984628596589,-0.16624767689331774,-0.06409941510968377
52,,0.91,6.45,0.8504598670519679,0.5230317118824673,-0.056176889369605985
53,,-0.02,6.35,0.886804874030734,0.4583867380184909,-0.058810830670050634
54,,1.34,6.17,0.8183585929837605,-0.572209491060115,-0.05353047384774339
55,,-0.07,6.35,0.225220939987016,0.9741766710131127,-0.01597941942545487
56,,0.05,6.15,0.7223909333235969,0.6895528340090981,-0.05165489872106797
57,,1.35,5.67,0.8510118138262648,-0.5217005288840024,-0.06006205865838236
58,,1.0,6.49,0.2428351701554026,-0.9699204203593081,-0.01689551140450389
59,36    Psc,0.92,6.11,0.9870913806731153,0.1433198930550693,-0.07148436511242628
60,,0.88,5.74,0.47534415129861624,0.8790945636364624,-0.035223373078339615
61,,-0.09,6.47,0.9359366340298886,-0.3454710909554602,-0.06835453455950533
62,,-0.09,5.89,0.6679364146695197,0.7425313906495011,-0.050080733406623716
63,24The And,0.06,4.61,0.7784606403353688,0.6249929045286416,-0.05816270916575181
64,,0.46,6.77,0.1940436948083723,-0.9808891816317472,-0.01426386563721309
65,,-0.13,6.14,0.621566785040988,0.7818802761187608,-0.04814525470137841
66,,0.37,6.45,0.9424598549425542,-0.32641148143506205,-0.0722839305034503
67,,0.94,6.17,0.9965540182766912,0.029472403410385654,-0.07753364491493828
68,25Sig And,0.05,4.52,0.7983255616395849,0.5988178298154287,-0.06398049959152893
69,,1.03,6.05,0.9778144465516275,0.19433422211390813,-0.07818643252071739
70,26    And,-0.08,6.11,0.7194655494108144,0.692031191386839,-0.058840065930513
71,,-0.01,5.87,0.849665561982791,0.5227548315103279,-0.06925185133320684
72,,0.68,6.46,0.9868464734940029,-0.140085223250805,-0.08068561197154325
73,,1.21,6.33,0.7261205692998633,-0.6849958118772819,-0.05941091272001866
74,8Iot Cet,1.22,3.56,0.9846160080826458,-0.1533978546845377,-0.08366848155414569
75,,1.18,6.33,0.7550000150586625,0.6524915987433785,-0.06503607330343146
76,,0.0,6.52,0.6553068208551043,0.7531648733094346,-0.05758163034822597
77,Zet Tuc,0.58,4.23,0.42297158098448895,-0.9053815623950351,-0.03713849962784187
